ID,Style,Artwork,Artist,Date,Link
77456,Abstract-Expressionism,Heraldic eagle,Victor Hugo,1855,https://uploads0.wikiart.org/images/victor-hugo/heraldic-eagle-185.jpg
77457,Abstract-Expressionism,"Lace impression, spectral form",Victor Hugo,1855,https://uploads7.wikiart.org/images/victor-hugo/lace-impression-spectral-form-1855.jpg
77458,Abstract-Expressionism,Lace and Ghosts,Victor Hugo,1856,https://uploads2.wikiart.org/images/victor-hugo/lace-and-ghosts-1856.jpg
77459,Abstract-Expressionism,The cellist,Victor Hugo,1856,https://uploads7.wikiart.org/images/victor-hugo/the-cellist-1856.jpg
77460,Abstract-Expressionism,Taches with fingerprints,Victor Hugo,1865,https://uploads2.wikiart.org/images/victor-hugo/taches-with-fingerprints-1865.jpg
77461,Abstract-Expressionism,Composition with taches,Victor Hugo,1875,https://uploads1.wikiart.org/images/victor-hugo/composition-with-taches-1875.jpg
77462,Abstract-Expressionism,Abstract Composition,Victor Hugo,XIX cent.,https://uploads2.wikiart.org/images/victor-hugo/abstract-composition.jpg
77463,Abstract-Expressionism,Pattern Composition,Victor Hugo,XIX cent.,https://uploads1.wikiart.org/images/victor-hugo/pattern-composition.jpg
77464,Abstract-Expressionism,Voilures,Victor Hugo,XIX cent.,https://uploads8.wikiart.org/images/victor-hugo/voilures.jpg
77465,Abstract-Expressionism,Abstract motive,Vahram Gayfedjian,1905,https://uploads3.wikiart.org/00178/images/vahram-gaifedjyan/0-1.jpg
77466,Abstract-Expressionism,"The Large Figure Paintings, nr 5",Hilma af Klint,1907,https://uploads5.wikiart.org/00287/images/hilma-af-klint/hilma-1.jpg
77467,Abstract-Expressionism,The Fate of the Animals,Franz Marc,1913,https://uploads6.wikiart.org/00111/images/franz-marc/fate-of-the-animals.jpg
77468,Abstract-Expressionism,Autobiography,Miriam Schapiro,XX cent.,https://uploads8.wikiart.org/images/miriam-schapiro/autobiography.jpg
77469,Abstract-Expressionism,Facade,Miriam Schapiro,XX cent.,https://uploads1.wikiart.org/images/miriam-schapiro/facade.jpg
77470,Abstract-Expressionism,Punch and Judy: Our Demons,Miriam Schapiro,XX cent.,https://uploads2.wikiart.org/images/miriam-schapiro/punch-and-judy-our-demons.jpg
77471,Abstract-Expressionism,Pandora,Miriam Schapiro,XX cent.,https://uploads2.wikiart.org/images/miriam-schapiro/pandora.jpg
77472,Abstract-Expressionism,Treasury,Miriam Schapiro,XX cent.,https://uploads3.wikiart.org/images/miriam-schapiro/treasury.jpg
77473,Abstract-Expressionism,We Live in Her Dreams,Miriam Schapiro,XX cent.,https://uploads7.wikiart.org/images/miriam-schapiro/we-live-in-her-dreams.jpg
77474,Abstract-Expressionism,High Up on the Mountain,Huang Yongyu,XX cent.,https://uploads6.wikiart.org/images/huang-yongyu/high-up-on-the-mountain.jpg
77475,Abstract-Expressionism,Horses,Huang Yongyu,XX cent.,https://uploads7.wikiart.org/images/huang-yongyu/horses.jpg
77476,Abstract-Expressionism,Ink Lotus,Huang Yongyu,XX cent.,https://uploads1.wikiart.org/images/huang-yongyu/ink-lotus.jpg
77477,Abstract-Expressionism,Ink Lotus,Huang Yongyu,XX cent.,https://uploads3.wikiart.org/images/huang-yongyu/ink-lotus-1.jpg
77478,Abstract-Expressionism,Landscape,Huang Yongyu,XX cent.,https://uploads1.wikiart.org/images/huang-yongyu/landscape.jpg
77479,Abstract-Expressionism,Lotus,Huang Yongyu,XX cent.,https://uploads6.wikiart.org/images/huang-yongyu/lotus.jpg
